Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
231.86	0.10000	7.3325	0.13638	-31.832	-31.818	-106.45	158.42	204.77	1431.5	-0.49278	982.29	0.14257	liquid
232.18	0.10000	7.3299	0.13643	-31.768	-31.754	-106.17	158.49	204.84	1430.0	-0.49251	976.59	0.14247	liquid
232.49	0.10000	7.3273	0.13648	-31.703	-31.690	-105.89	158.55	204.90	1428.5	-0.49223	970.94	0.14237	liquid
232.80	0.10000	7.3247	0.13652	-31.639	-31.625	-105.62	158.62	204.97	1427.1	-0.49196	965.35	0.14228	liquid
233.12	0.10000	7.3221	0.13657	-31.574	-31.561	-105.34	158.69	205.04	1425.6	-0.49168	959.81	0.14218	liquid
233.43	0.10000	7.3195	0.13662	-31.510	-31.496	-105.06	158.75	205.10	1424.1	-0.49140	954.32	0.14209	liquid
233.75	0.10000	7.3170	0.13667	-31.446	-31.432	-104.79	158.82	205.17	1422.7	-0.49112	948.88	0.14199	liquid
234.06	0.10000	7.3144	0.13672	-31.381	-31.367	-104.51	158.89	205.24	1421.2	-0.49084	943.49	0.14189	liquid
234.37	0.10000	7.3118	0.13677	-31.317	-31.303	-104.24	158.95	205.31	1419.7	-0.49056	938.15	0.14180	liquid
234.69	0.10000	7.3092	0.13681	-31.252	-31.239	-103.96	159.02	205.38	1418.3	-0.49027	932.86	0.14170	liquid
235.00	0.10000	7.3066	0.13686	-31.188	-31.174	-103.69	159.09	205.45	1416.8	-0.48999	927.62	0.14161	liquid
235.32	0.10000	7.3040	0.13691	-31.123	-31.109	-103.41	159.16	205.52	1415.4	-0.48970	922.42	0.14151	liquid
235.63	0.10000	7.3015	0.13696	-31.059	-31.045	-103.14	159.23	205.59	1413.9	-0.48942	917.28	0.14141	liquid
235.94	0.10000	7.2989	0.13701	-30.994	-30.980	-102.87	159.30	205.66	1412.4	-0.48913	912.17	0.14132	liquid
236.26	0.10000	7.2963	0.13706	-30.929	-30.916	-102.59	159.37	205.73	1411.0	-0.48884	907.12	0.14122	liquid
236.57	0.10000	7.2937	0.13710	-30.865	-30.851	-102.32	159.44	205.80	1409.5	-0.48855	902.11	0.14112	liquid
236.89	0.10000	7.2911	0.13715	-30.800	-30.786	-102.05	159.51	205.87	1408.0	-0.48825	897.14	0.14103	liquid
237.20	0.10000	7.2885	0.13720	-30.735	-30.722	-101.77	159.58	205.94	1406.6	-0.48796	892.22	0.14093	liquid
237.51	0.10000	7.2860	0.13725	-30.671	-30.657	-101.50	159.65	206.01	1405.1	-0.48766	887.34	0.14083	liquid
237.83	0.10000	7.2834	0.13730	-30.606	-30.592	-101.23	159.72	206.09	1403.7	-0.48737	882.50	0.14074	liquid
238.14	0.10000	7.2808	0.13735	-30.541	-30.528	-100.96	159.79	206.16	1402.2	-0.48707	877.71	0.14064	liquid
238.46	0.10000	7.2782	0.13740	-30.477	-30.463	-100.68	159.87	206.23	1400.8	-0.48677	872.96	0.14055	liquid
238.77	0.10000	7.2756	0.13745	-30.412	-30.398	-100.41	159.94	206.31	1399.3	-0.48647	868.25	0.14045	liquid
239.09	0.10000	7.2731	0.13749	-30.347	-30.333	-100.14	160.01	206.38	1397.8	-0.48617	863.58	0.14035	liquid
239.40	0.10000	7.2705	0.13754	-30.282	-30.268	-99.871	160.08	206.45	1396.4	-0.48587	858.95	0.14026	liquid
239.71	0.10000	7.2679	0.13759	-30.217	-30.204	-99.600	160.16	206.53	1394.9	-0.48557	854.36	0.14016	liquid
240.03	0.10000	7.2653	0.13764	-30.152	-30.139	-99.329	160.23	206.60	1393.5	-0.48526	849.81	0.14006	liquid
240.34	0.10000	7.2627	0.13769	-30.088	-30.074	-99.059	160.30	206.68	1392.0	-0.48495	845.30	0.13997	liquid
240.66	0.10000	7.2601	0.13774	-30.023	-30.009	-98.789	160.38	206.75	1390.6	-0.48465	840.83	0.13987	liquid
240.97	0.10000	7.2576	0.13779	-29.958	-29.944	-98.520	160.45	206.83	1389.1	-0.48434	836.40	0.13977	liquid
241.28	0.10000	7.2550	0.13784	-29.893	-29.879	-98.250	160.53	206.91	1387.6	-0.48403	832.00	0.13968	liquid
241.60	0.10000	7.2524	0.13789	-29.828	-29.814	-97.981	160.60	206.98	1386.2	-0.48372	827.64	0.13958	liquid
241.91	0.10000	7.2498	0.13793	-29.763	-29.749	-97.712	160.68	207.06	1384.7	-0.48341	823.32	0.13948	liquid
242.23	0.10000	7.2472	0.13798	-29.698	-29.684	-97.443	160.75	207.14	1383.3	-0.48309	819.03	0.13939	liquid
242.54	0.10000	7.2447	0.13803	-29.633	-29.619	-97.175	160.83	207.22	1381.8	-0.48278	814.78	0.13929	liquid
242.85	0.10000	7.2421	0.13808	-29.568	-29.554	-96.907	160.90	207.29	1380.4	-0.48246	810.57	0.13919	liquid
243.17	0.10000	7.2395	0.13813	-29.502	-29.489	-96.639	160.98	207.37	1378.9	-0.48215	806.39	0.13910	liquid
243.48	0.10000	7.2369	0.13818	-29.437	-29.423	-96.371	161.06	207.45	1377.5	-0.48183	802.24	0.13900	liquid
243.80	0.10000	7.2343	0.13823	-29.372	-29.358	-96.103	161.13	207.53	1376.0	-0.48151	798.13	0.13890	liquid
244.11	0.10000	7.2317	0.13828	-29.307	-29.293	-95.836	161.21	207.61	1374.6	-0.48119	794.05	0.13881	liquid
